id;crop;scientific_name;spanish_common_name
111;Patata;Alternaria solani;Alternaria
112;Patata;Fusarium solani;Fusariosis
113;Patata;Helminthosporium solani;Sarna plateada
114;Patata;Verticillium dahliae;Verticilosis
115;Patata;Strptomyces spp.;Sarna común
116;Patata;Ralstonia solanacearum;Podredumbre parda
117;Patata;Clavibacter michiganensis subsp sepedonicus;Podredumbre anular
118;Patata;Pectobacaterium spp.;Pie negro
119;Patata;Dickeya spp.;Pie negro
120;Patata;Potato leafroll virus;Virus del enrollado (PLRV)
121;Patata;Potato Virus Y;Virus Y (PVY)
122;Avellano;Curculio nucum; Diabló o gorgojo del avellano
123;Avellano;Zeuzera pyrina;Barrenador de la madera o taladro amarillo
124;Avellano;Archips rosana;Cigarrero
125;Avellano;Archips xylosteana;Cigarrero
126;Avellano;Myzocallis coryli;Pulgón amarillo 
127;Avellano;Corylobium avellanae;Pulgón verde
128;Avellano;Eulecanium coryli;Cochinilla
129;Avellano;Phytoptus avellanae;Badoc
130;Avellano;Eotetranychus carpini;Araña amarilla
131;Avellano;Tetranycopsis horridus;Araña amarilla
132;Avellano;Tetranychus urticae;Araña roja
133;Avellano;Panonychus ulmi;Araña roja
134;Avellano;Nezara viridula;Chinches
135;Avellano;Pantilius tunicatus;Chinches
136;Avellano;Melolontha sp.;Gusanos de la base del tronco
137;Avellano;Cerambyx sp.;Gusanos de la base del tronco
138;Avellano;Cytospora corylicola;Chancro o solcuit
139;Avellano;Cryptosporiopsis spp.;Yema seca
140;Avellano;Armillaria mellea;Podredumbre de raíces
141;Avellano;Rosellinia necatrix;Podredumbre de raíces
142;Avellano;Xanthomonas arboricola;Bacteriosis
